_id,Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
30157,2021,Jan-Mar,1014093,6038169,317786,Latino,M,Aged 18 to 24 years,Not a youth,11,1,1,Robbery/Theft,,,,,,1,1,0,0,0,0,30157
30158,2021,Apr-June,1045464,6061171,317786,Latino,M,Aged 18 to 24 years,Not a youth,11,,1,Drug Related,,,,,,,None,None,None,None,None,30158
30159,2021,July-Sept,1024604,6013061,317786,Latino,M,Aged 18 to 24 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,30159
30160,2021,July-Sept,1002015,6023227,317786,Latino,M,Aged 18 to 24 years,Not a youth,XX,,,Police Category - Administrative,,,,,,,None,None,None,None,None,30160
30161,2020,July-Sept,1032144,6059198,322681,Unknown or Legacy,F,Aged 25 to 34 years,Not a youth,23,,,Mischief & Fraud,,,,,,1,None,None,None,None,None,30161
30162,2020,Jan-Mar,1042506,6052751,325386,Middle-Eastern,M,Aged 55 to 64 years,Not a youth,XX,,1,Sexual Related Crimes & Crimes Against Children,,,,,,1,None,None,None,None,None,30162
30163,2020,Oct-Dec,1022965,6031978,325386,Middle-Eastern,M,Aged 65 and older,Not a youth,32,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,,None,None,None,None,None,30163
30164,2021,Jan-Mar,1009020,6040482,306593,White,M,Aged 45 to 54 years,Not a youth,XX,1,1,Assault,1,,,,,1,0,0,0,1,0,30164
30165,2021,Apr-June,1032093,6012007,306593,White,M,Aged 45 to 54 years,Not a youth,14,,1,Assault,,,,,,1,None,None,None,None,None,30165
30166,2021,July-Sept,1059450,6028922,306593,White,M,Aged 45 to 54 years,Not a youth,55,,1,Police Category - Administrative,,,,,,,None,None,None,None,None,30166
30167,2020,July-Sept,1018777,6030734,320928,White,M,Aged 65 and older,Not a youth,22,,1,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,30167
30168,2020,Jan-Mar,1046362,6048350,302266,Black,M,Aged 17 years and younger,Youth (aged 17 and younger),XX,,,Robbery & Theft,,,,,,,None,None,None,None,None,30168
30169,2020,Jan-Mar,1044352,6004118,302266,Black,M,Aged 17 years and younger,Youth (aged 17 and younger),XX,,1,Warrant,,,,,,,None,None,None,None,None,30169
30170,2020,Jan-Mar,1030340,6056163,302266,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Other Statute & Other Incident Type,,,,,,,None,None,None,None,None,30170
30171,2020,July-Sept,1013640,6064578,334260,White,M,Aged 35 to 44 years,Not a youth,33,,,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,30171
30172,2020,Apr-June,1022838,6050684,302569,White,M,Aged 35 to 44 years,Not a youth,53,1,1,Drug Related,,,,,,1,0,0,0,0,1,30172
30173,2021,Oct-Dec,1038184,6017606,302569,White,M,Aged 45 to 54 years,Not a youth,51,,1,Police Category - Administrative,,,1,,,,None,None,None,None,None,30173
30174,2020,Jan-Mar,1006132,6063583,323855,Black,F,Aged 35 to 44 years,Not a youth,XX,,,Robbery & Theft,,,,,,1,None,None,None,None,None,30174
30175,2020,July-Sept,1047063,6015631,330085,Black,F,Aged 25 to 34 years,Not a youth,41,,1,Robbery & Theft,,,,,,,None,None,None,None,None,30175
30176,2020,Apr-June,1034071,6061755,335024,Black,M,Aged 18 to 24 years,Not a youth,41,,1,Mischief & Fraud,,,,,,,None,None,None,None,None,30176
30177,2020,Oct-Dec,1011048,6058423,335024,Black,M,Aged 18 to 24 years,Not a youth,41,,1,Drug Related,,,,,,1,None,None,None,None,None,30177
